date,open,high,low,close,volume
20191128,1194.97,1197.51,1169.02,1175.8,2884499
20191129,1165.5,1165.5,1112.89,1129,8239732
20191202,1118.2,1140.02,1118.2,1133,3078441
20191203,1133,1133,1117.74,1118,2734093
20191204,1140,1144.66,1118,1122.33,3528308
20191205,1125,1132.01,1118,1129.8,2133879
20191206,1135.97,1170,1130.1,1170,3950626
20191209,1175,1176,1156.1,1158.7,2182412
20191210,1159.6,1165,1151,1164.4,1508658
20191211,1168,1170.75,1155.55,1158.98,1456799
20191212,1156,1159.94,1130.08,1137,2940916
20191213,1146,1165,1146,1163,3000059
20191216,1163,1163,1137.94,1147.92,3093642
20191217,1149.7,1173.6,1143.03,1169.98,4261696
20191218,1174,1175.2,1164,1168,1964009
20191219,1163,1163,1152,1157.4,1955230
20191220,1162.18,1162.18,1141.5,1146.3,2356384
20191223,1139,1162.5,1136,1149.3,2591918
20191224,1153,1155,1145,1148,1182310
20191225,1143,1143,1130.01,1133.7,2430597
20191226,1132,1141.98,1119.99,1135.1,2287727
20191227,1150,1172,1150,1163,4706628
20191230,1170.2,1195.5,1170.2,1185.8,4076066
20191231,1183,1188,1176.51,1183,2258881
20200102,1128,1145.06,1116,1130,14809916
20200103,1117,1117,1076.9,1078.56,13031878
20200106,1070.86,1092.9,1067.3,1077.99,6341478
20200107,1077.5,1099,1076.4,1094.53,4785359
20200108,1085.05,1095.5,1082.58,1088.14,2500825
20200109,1094,1105.39,1090,1102.7,3740587
20200110,1109,1115.99,1102.5,1112.5,3597587
20200113,1112.5,1129.2,1112,1124.27,3851575
20200114,1124.2,1124.89,1103,1107.4,3514465
20200115,1109.01,1121.6,1105,1112.13,2602911
20200116,1118.87,1118.87,1102.58,1107,2319165
